times_s,voltage_V_Am2
0.0001,2.4076408661899796e-05
0.00012589254117941674,1.5778927062805656e-05
0.00015848931924611142,1.0094673473092224e-05
0.00019952623149688788,6.284694688340652e-06
0.00025118864315095795,3.8151281327686766e-06
0.00031622776601683794,2.2915696855466533e-06
0.00039810717055349735,1.353900776172592e-06
0.0005011872336272725,7.899530005499818e-07
0.000630957344480193,4.575427408398793e-07
0.0007943282347242813,2.6341449915246203e-07
0.001,1.506333962056243e-07
0.0012589254117941675,8.566129815454132e-08
0.001584893192461114,4.861220765411802e-08
0.001995262314968879,2.7430532341371025e-08
0.002511886431509582,1.5428407469844343e-08
0.0031622776601683794,8.67790185577817e-09
0.003981071705534973,4.847232244037849e-09
0.005011872336272725,2.7067444077087185e-09
0.00630957344480193,1.523566837780447e-09
0.00794328234724282,8.626353872704949e-10
0.01,4.905904159154849e-10
